request,response
"Как перестать бояться, что я подведу близких людей?","Страх подвести близких часто связан с высоким уровнем ответственности и перфекционизмом. Напомните себе, что идеальных людей не существует, и ошибки — это нормально. Общайтесь с близкими о своих страхах, чтобы узнать их ожидания. Поддержка и открытость помогут вам почувствовать себя увереннее."
"Что делать, если мне кажется, что мои эмоции слишком сильные для других?","Если кажется, что ваши эмоции слишком сильны для других, попробуйте записывать их в дневник. Это поможет вам структурировать свои чувства и лучше их понять. Поделитесь своими эмоциями с теми, кому вы доверяете, чтобы снизить внутреннее напряжение."
"Завышенные требования к сыну Здравствуйте. Я примерно представляю проблему, но совершенно не понимаю, как её исправить. Начну по порядку: Мужчина, 40 лет, женат. 2 года назад взяли из детдома мальчика под опеку. Он сын моей дальней родственницы. Чудесный паренёк. Периоды притирки прошли и сейчас живём, как обычная кровная семья. Люблю его и он любит меня. В общем, обычный пацан, в меру старательный, в меру шаловливый. А вот с кровной матерью ему категорически не повезло. То, что официальным языком называется ""маргинальная семья"". Алкоголизм, токсикомания, беспорядочные связи и прочее. Ну да и фиг бы с ней. Еë жизнь, её проблемы. Ребёнок то у нас. И вот тут в полный рост встаёт моя проблема. Я поймал себя на мысли, что с течением времени начинаю требовать от ребёнка больше и больше, методично подавлять его волю. Требовать от него абсолютного послушания. Я очень боюсь, что он вырастет как его биомама. И поэтому начинаю относиться к нему строже и строже. А он старается выполнять требования. При этом я понимаю, что он в этом не виноват. И что моё поведение неправильное. И что финалом таких отношений лет через 10 будет как раз его моральный слом, а возможно и ""во все тяжкие"". Но я совершенно не понимаю, как исправить своё отношение. В такие моменты мне крайне сложно, а иногда и невозможно себя контролировать. Подскажите пожалуста, что из литературы почитать, чтобы разобраться в своих страхах и нормализовать отношения с сыном?","Вот вот. Только мне очень сложно контролировать себя в такие моменты. Меня буквально переполняет гнев, даже не за шалости, а за нормальное детское поведение. Все его ошибки моментально гипертрофируются с мой стороны. Я понимаю, что проблема то не в нём, а во мне. Если сравнивать его с другими детьми - то он прекрасно воспитан. А я продолжаю ""закручивать гайки"" и не могу остановиться. На данный момент я стараюсь компенсировать вспышки гнева лаской, уже после того, как успокоюсь. Но получается ещё хуже. Своеобразные эмоциональные качели на максимальной амплитуде. Как понимаю ситуацию - мне нужно разобрать мусор в своей голове, чтобы приглушить необоснованные страхи. Может есть какие-то методики или аутотренинги, обуздать свой гнев?"
"Может ли быть дружба между мужчиной и женщиной? У меня много друзей мужчин. Конечно же это раздражает мужа говорит, что дружбы между мужчиной и женщиной не бывает. Подруга вторит - мол, влюбляется кто-то по любому в такой ситуации. А мне их доводы не понятны. Возможно потому, что со школьных времён у меня была компания, там были и девушки и парни, кто-то встречался в компании, но в основном - они как начали встречаться сразу при образовании совместного времяпровождения, так и живут до сих пор вместе, либо разошлись по прошествию времени, но тогда уже компания распалась. Но было абсолютно нормально сходить с кем то из парней в кино или на озеро купаться и при этом не было никаких обсуждений из разряда - ""а вот они там куда-то вместе ходили, как-то совместно время проводили - это что-то там значит""... И до сих пор с этими друзьями поддерживаю контакт, мы встречаемся по возможности, но жизнь всех раскидала по миру Если с человеком приятно общаться и он тебе просто симпатичен - надо обязательно в него влюбиться? У меня масса знакомых мужчин, которыми я восхищаюсь, симпатизирую им, но как-то совсем не тянет в них влюбляться. Влюблялась почему-то как раз в тех, к кому абсолютно нейтрально относилась На мой взгляд с мужчинами всегда интереснее А работать в мужском коллективе вообще сказка. Так бывает все-таки дружба между мужчиной и женщиной?","Вы же не будете опровергать тот факт, что на свете есть люди, которые сами выбирают,а не ждут, пока их выберут. Не буду опровергать. Есть такие люди. Если бы все ждали, то ни кто и ни кого никогда не выбрал. Вы ведь тоже не будете отвергать факт, что на свете есть люди, которые считают, что они полностью свободны в своем выборе, а на самом деле выбирают из тех, кто уже их выбрал?"
"Здравствуйте!Мне почти 20 лет. Я не хочу получать высшее образование После окончания школы устроилась на достаточно хорошую раьоту.Но подавать документы и учиться мне совсем не хочется. Нет, мне не лень, меня совершенно не устравает сам процесс учёбы.Все заставляют поступать, а я хочу не тратить время и осуществлять свои мечты. Я не глупый человек, сама развиваюсь и совершенствуюсь, изучаю языки, занимаюсь спортом и тдПодскажите, было ли у кого- нибудь такое? #образование","Ваш выбор.Я не жалею, что отучилась на вышку, знаний уже почти нет, но сам опыт мне понравился.Работа у меня обычная, на неё и без вышки берут.Я образованием так и не воспользовалась"
"Завышенные требования к сыну Здравствуйте. Я примерно представляю проблему, но совершенно не понимаю, как её исправить. Начну по порядку: Мужчина, 40 лет, женат. 2 года назад взяли из детдома мальчика под опеку. Он сын моей дальней родственницы. Чудесный паренёк. Периоды притирки прошли и сейчас живём, как обычная кровная семья. Люблю его и он любит меня. В общем, обычный пацан, в меру старательный, в меру шаловливый. А вот с кровной матерью ему категорически не повезло. То, что официальным языком называется ""маргинальная семья"". Алкоголизм, токсикомания, беспорядочные связи и прочее. Ну да и фиг бы с ней. Еë жизнь, её проблемы. Ребёнок то у нас. И вот тут в полный рост встаёт моя проблема. Я поймал себя на мысли, что с течением времени начинаю требовать от ребёнка больше и больше, методично подавлять его волю. Требовать от него абсолютного послушания. Я очень боюсь, что он вырастет как его биомама. И поэтому начинаю относиться к нему строже и строже. А он старается выполнять требования. При этом я понимаю, что он в этом не виноват. И что моё поведение неправильное. И что финалом таких отношений лет через 10 будет как раз его моральный слом, а возможно и ""во все тяжкие"". Но я совершенно не понимаю, как исправить своё отношение. В такие моменты мне крайне сложно, а иногда и невозможно себя контролировать. Подскажите пожалуста, что из литературы почитать, чтобы разобраться в своих страхах и нормализовать отношения с сыном?","Мой друг Если не можете остановиться, не вы владеете гневом, а гнев владеет вами. Если вы так же можете срываться, например, на инспекторов ГАИ, тогда в терапию.) Если вы позволяете себе гневаться на более слабых для себя: женщин и детей, которые не могут вам ответить на равне, то это про личные границы и ограничения себя. Самоограничение и возможность спокойно воспитывать тех, кто от вас зависит, это навык и его возможно в себе так же воспитать, как вы воспитываете своего сына."
"Постоянно ссоримся с мужем, он обзывается и игнорирует меня Мне 23, мужу 26. Вместе 2 года, раньше жили в моем городе, сейчас 5 месяцев как переехали в его город. Ребёнку 8 месяцев. Раньше ссорились, но не так часто как сейчас. Мне становится обидно почти от каждого слова, нет ни дня чтобы не задел, обязывается, когда к нему обращаюсь, то игнорирует. Спрашиваю что происходит и почему так ко мне относится, говорит так, как заслужила, как слышу его, а я делаю вообще всё так, как он говорит. Очень упала самооценка, сама в себя не верю, стала даже сама себя гнобить... Он говорит, езжай домой если что-то не нравится... Не знаю что делать... Моя семья меня не поймёт, не примет... Очень боюсь этих укоров, но и отношение такое с его стороны надоело, потому что бывают и хорошие моменты, да и вроде как люблю его. С дочкой мужиногда играет, заботится, в общем хоть как то старается. Я не знаю что делать, очень устала, просто хочется спокойствия. Даже когда один-/два дня спокойных кажется это подозрительным...","Мой друг , здравствуйте. Спасибо за обращение. В теме от Вас несколько вопросов, но в настоящее время у Вас маленький ребёнок и имеет значение сохранить силы. Переезд может быть повлиял на мужа и его ожидания, но Вам нужно начать с возможности сохранять свои личные границы и ресурсы. Можно обратиться к семейному психологу вдвоём, можно самостоятельно начать консультацию по теме и это может помочь прожить не только эмоции, но и найти ресурсы для сохранения самочувствия. У Вас молодая семья и Вы остались без поддержки привычного образа жизни, имеет значение отразить своё мнение и если не получается спокойно прояснить правила не молчать, а обратить внимание на то что часть времени занимает забота о ребёнке. В данном случае это нормативный кризис, но помочь может уточнения вопроса и индивидуального варианта как Вы общаетесь в спорных случаях и можно подобрать варианты, в безопасном пространстве консультации поговорить о возможности и тогда будет легче постепенно прояснить ситуацию Вам. Для этого на сайте есть возможность консультации, выбора специалиста. Буду рада видеть Вас!"
"Почему мне кажется, что я не достоин заботы и любви?","Ощущение, что вы недостойны любви, может быть связано с низкой самооценкой. Напомните себе, что каждый заслуживает заботы. Практикуйте заботу о себе, чтобы укрепить чувство собственной ценности. Поговорите с людьми, которые ценят вас, чтобы увидеть себя их глазами."
"Изменятся ли отношения между супругами после рождения ребёнка? Поменялись ли ваши отношения с мужем/любимым человеком после рождения ребенка? Слышала очень часто, что мужчины теряют интерес. Переживаю, т. к. сейчас беременна. Поделитесь опытом, пожалуйста.","Я больше жену стал любить после появления ребенка, ближе стала. Проблемы были только на бытовом уровне, не высыпались, времени даже на готовку не было. Высыпаться стали когда пацан подрос."
Почему я так остро реагирую на неудачи?,"Острая реакция на неудачи может быть вызвана перфекционизмом. Напомните себе, что ошибки — это часть пути к успеху. Попробуйте анализировать свои неудачи как уроки, а не как поражения. Это поможет вам расти и улучшаться, не чувствуя себя подавленным."
