request,response
"Думаю, что расстались с девушкой по ошибке Недавно расстался с девушкой после нескольких лет отношений. Причиной сего несчастья послужило то, что в какой-то момент, я начал к ней относится очень холодно, когда я был ей, и когда ей нужна была моя поддержка. Но ввиду, собственных проблем и стресса, я не смог этого заметить, а сил чтобы побороть своё""мужество"" у меня не хватило, и признаться, что мне плохо, мне нужна твоя поддержка, я не смог! И так получилось, что мы оба оказались в какой-то момент в ""эмоциональных ямах"" она всячески искала мою поддержку, использую ""намёки"", которые на тот момент мне не удалось понять, я где-то понимал, что у нас что-то идёт не так в последние два месяца, но опять же из-за маски своего ""пофигизма"" не смог ей этого на прямую сказать, а она отдалялась всё дальше и дальше, а по итогу всё привело к точке, что она приезжает и говорит, что"" между нами ничего не может быть, я больше ничего не чувствую к тебе, я устала быть терпилой, "" и ""меня рандомные челы в интернете больше поддерживали, чем мой любимый человек""и после, этого ""бум"". Все проблемы уходят на второй план у меня,(я пытался с ней поговорить, объяснить, что мне плохо было, мне плохо, я запутался, мне нужна твоя поддержка, не оставляй меня сейчас одного (мне нужен второй шанс, я готов исправить всё и изменить наше с тобой будущее к лучшему, я готов работать над нашими отношениями, прости, что у меня не хватило сил с тобой поговорить)). И после этого, она говорит, что ей всё равно на меня, на то что мне плохо, ибо ""уже поздно, чувство пропали! Раньше нужно было думать ""- она говорила. -Мне наконец-то без тебя хорошо, я проснулась с лёгкостью, зная что тебя нету в моей жизни - это были её слова. И после этого, я прямо таки очень сильно пытался её убедить, что она не права, но она не в какую, и по итогу, уже несколько дней мы не общаемся. И вот сейчас, у меня есть огромное чувство неудовлетворительния, у меня есть огромное чувство вины и желания всё исправить, стать для неё человеком, которого она заслужила. Но для этого, нужно попытаться вернуть её чувства, навязываться я не буду, поэтому какие есть варианты? Как мне повлиять на неё? Как мне дать ей понять, что я вложил много в наше благополучие, и готов вложить ещё больше? Как ей дать понять, что мне действительно жаль, что последние несколько месяцев я про не забыл? Как мне извиниться, чтобы она поняла, что мне действительно жаль??? Я не хочу верить в то, что это невозможно, ибо всё в этом мире возможно!","Мой друг добрый день. Воздействие на эмоции может быть и ностальгией и манипуляцией. Как найти свой вариант? Посмотрите насколько будет полезно на этом пути обратиться на консультацию и узнать о самом себе свои мечты, желания и начать строить свои планы и тогда добавить их будет больше актуально для Вас самого, может быть тогда именно ваши друзья и близкие люди найдутся."
"Не хочу отношений, мне 20 лет, я парень Здравствуйте, мне 20 лет, проблема такая не хочу отношений из-за того что у меня воронкообразная грудь (грудь сапожника), из-за этого я очень худой (55кг при росте 180), из-за этой груди я уже 4 года не хожу на пляжи и тд, потому что стесняюсь раздеться перед людьми, с девушками также, поэтому до интима никогда не доходит, и не дойдёт! Родители меня не понимают, считают психически больным что из-за груди я так парюсь, но не могу я, для меня это дичайший комплекс. Не сказал бы что я хочу отношений, отношений хотят мои родители, а я готов и один прожить мне комфортно одному, я думаю отношения очень переоценивают, ничего в них хорошего нет, как и плохого, но хорошего меньше. Не пишите мне про спорт и шварцнеггера я задолбался это слушать, я хожу в спортзал уже полгода изменений нет.","Привет, я просто хочу сказать, что не хотеть отношений это нормально, а вот по поводу груди нужно переживать меньше - у моего мч тоже такая же ситуация, но я вообще никогда не думала, что это какая то проблема. Попробуйте просто принять и полюбить себя, это приятно и часто очень помогает в жизни."
"Может ли быть дружба между мужчиной и женщиной? У меня много друзей мужчин. Конечно же это раздражает мужа говорит, что дружбы между мужчиной и женщиной не бывает. Подруга вторит - мол, влюбляется кто-то по любому в такой ситуации. А мне их доводы не понятны. Возможно потому, что со школьных времён у меня была компания, там были и девушки и парни, кто-то встречался в компании, но в основном - они как начали встречаться сразу при образовании совместного времяпровождения, так и живут до сих пор вместе, либо разошлись по прошествию времени, но тогда уже компания распалась. Но было абсолютно нормально сходить с кем то из парней в кино или на озеро купаться и при этом не было никаких обсуждений из разряда - ""а вот они там куда-то вместе ходили, как-то совместно время проводили - это что-то там значит""... И до сих пор с этими друзьями поддерживаю контакт, мы встречаемся по возможности, но жизнь всех раскидала по миру Если с человеком приятно общаться и он тебе просто симпатичен - надо обязательно в него влюбиться? У меня масса знакомых мужчин, которыми я восхищаюсь, симпатизирую им, но как-то совсем не тянет в них влюбляться. Влюблялась почему-то как раз в тех, к кому абсолютно нейтрально относилась На мой взгляд с мужчинами всегда интереснее А работать в мужском коллективе вообще сказка. Так бывает все-таки дружба между мужчиной и женщиной?","Границы между понятиями "" друзья "" и "" приятели"" очень зыбки. У меня есть только один друг - моя родная сестра, человек, с которым я могу быть "" без кожи"". Все остальные - приятели/цы. У меня нет друзей -мужчин, они мне просто не нужны. Но приятельствую я со многими мужчинами. Правильней будет сказать - вы очень много имели в жизни, раз вам уже не нужны мужчины -друзья"
"Мать-одиночка это плохо? Сейчас многие женщины, так сказать, ""рожают для себя"". Как, например, моя родственница. И вроде бы все нормально было, вырос замечательный сын, получил хорошую профессию, мать замуж не вышла, опасаясь, что муж будет обижать ее ребенка. Но совсем недавно она узнала, что ее мальчик очень переживал, что он рос в неполной семье, причем в садике и в школе к нему очень хорошо относились, он был любимцем и душой любой компании. Но то, что у него не было отца, было, оказывается, душевной травмой... Не эгоизм ли это со стороны женщины ""рожать для себя""?","Мой друг , мне не кажется, что нашей задачей является оправдать поступок женщины. Я бы не хотела её судить или оправдывать. Является ли продолжение рода смыслом жизни спросили вы меня. Затрудняюсь однозначно ответить, потому что смысл жизни для всех людей свой. Но если мы возьмём глобальный смысл жизни, то без продолжения рода, не будет и продолжаться жизнь"
"Взаимоотношения с родителями У Вас когда-нибудь были сложности во взаимоотношениях с родителями? У меня с мамой очень близкие отношения, но иногда наше общение становится очень запутанным. Дело в том, что мы с мужем живём в другом городе, и домой удаётся не так часто приехать. Но это ведь не оправдывает её тревог и лишних переживаний. Сегодня почувствовала себя подростком. Муж уехал в командировку, я дома уже неделю одна. Все дни усердно работала, устала жуть. Завтра будет важное мероприятие, после которого мы хотели прогуляться с девчонками. Я рассказала маме о своих планах, та закатила мне скандал, мол, как ты домой поедешь и как муж на это отреагирует. Да еще приплела такую фразу ""ты теперь замужем и всеми этими болтаниями самореализуешься в жизни"". Вот сижу, пью кофе и думаю, что это такое было....","Проблема наших родителей, это их жизненный опыт, который не даёт им спокойно сидеть на попе и пить чай, а заставляет лезть со своими советами в нашу жизнь. Я раньше тоже верила, что они умнее и мудрее, но за почти шестьдесят лет своей жизни мои родители ничего не добились. У них не было хорошего образования, ни высокооплачиваемой работы. Они даже жильё получили по наследству а не построили... Простите, но я за тридцать лет жизни добилась больше, так что ещё вопрос кто кому советы давать имеет право."
"На ваш взгляд, какие факультеты самые бесполезные (без которых и так берут на работу/можно обойтись), то есть за которые явно нет смысла платить 4 года?Для меня это – менеджмент (любой), психология, реклама, графический дизайн, государственное и муниципальное управление. Например, взять менеджмент. Для чего он вообще нужен, если менеджером можно стать после любого образования (технического, экономического) в своей сфере? Знать основы менеджмента? Так в этом можно обойтись простым курсом, чтобы понять что к чему, а так в ходе работы и начинаешь разбираться, вникать. Плюс на большинстве вакансий до менеджера нужно дорасти, не сразу берут (элементарно менеджером сети тебя никто даже после супер-образования не возьмёт, сначала ты должен поработать продавцом, затем старшим смены и уже в дальнейшем как повезёт). А графический дизайн. Тоже больше из разряда самосовершенствования, навыков, таланта. С гос управлением вообще иной случай – если есть родаки в структурах, тогда и есть смысл заканчивать специальность, а так там тебя тоже никто не ждёт без кропотливого труда из «низов».Выходит, эти специальности в принципе созданы ради высасывания денег из студентов?","Речь о бесполезности, а не невостребованности. Для юриста действительно важно юридическое образование, и неважно, востребовано оно в данный момент или нет. А менеджером предприятия, например, технического, можно стать после технического образования. Менеджмент в виде магистратуры, переквалификации хорош, но не как основное образование, после которого тебя без опыта никуда не возьмут."
"Учусь на втором годе маги. Поступала полная надежд, что образование будет хотя бы таким же как в бакалавриате (много знаний давали, да и учиться было не то, чтобы сложно), но ожидания разрушались полностью. В основном мы либо изучаем то, что уже знаем, либо на наше обучение вообще забивают, но!! дают дофига бесполезных домашек (иногда ещё и методика преподается с ошибками). Времени почти нет на себя. Осталось пол года, а я не могу элементарно написать лит обзор для диплома и сходить наконец-то к научнику (была уже у нее, но из-за забитых вечеров из-за основной учебы, физически не хватает времени заняться самим дипломом, ещё и работаю каждый день, поэтому как белка в колесе). Очень переживаю по этому поводу, потому что боюсь, что научник взъестся из принципа, мол не ходишь, значит оно тебе и не надо. В последнее время думаю про отчисление, потому что просто нет сил и переживания уже льются через край. Осталось всего пол года и по хорошему лучше перетерпеть их, но мысли о том, что магистратура не особо то даёт мне знаний, а только выкачивает ресурсы, что с дипломом дела совсем не идут, не дают покоя. Поэтому хочу спросить так ли вообще важна магистратура? Пригодилась ли она хоть кому-то как корочка? #образование #магистратура","Я в магистратуру пойду потому что хочу преподавать в вузе (я извращенка, знаю, но я заменяла пару преподов и мне понравилось). Сейчас, будучи на бакалавриате я ищу пассивный заработок чтобы хоть что-то было, надеюсь я дотяну. А вам сил и терпения, я работала на удаленке 9 часов в день, училась и посещала кучу мероприятий, в том числе организовывала их. Я тогда чуть не умерла от перегрузки и отчислилась на пару лет, сейчас вот заканчиваю уже. Дотяните, потом жалеть будете. Вам всего полгодика осталось, берите себя за шкирку и тяните до финиша."
"Здравствуйте! Я сейчас учусь на 4 курсе химического факультета, и этот год у меня дипломный. Уже 1,5 - 2 года я думаю о том, что мне химия не нравится и что надо поступать на другой профиль. Интерес к учебе сильно снизился, работа в лаборатории РАН (которая обязательна на моем факультете) очень скучная и унылая. К 4 курсу я сменил 3 лаборатории в поисках направления, которое мне понравится, но все безуспешно. В результате в этом году я пишу диплом по теме, которая мне не интересна, в лаборатории, куда меня хоть как-то взяли. Я думаю о том, что надо сменить специальность и поступать в магистратуру на другой профиль. Но есть две проблемы: (1) я вообще не понимаю, на какой другой профиль я могу пойти после бакалавриата по химии, поскольку в целом нет понимания ""что хочу от жизни"" и на кого я хочу учиться; (2) Родители против того, чтобы я поступал не на ""химическую"" магистратуру, т.к. ""химик-недоучка никому на рынке труда не нужен, а химик-гуманитарий или химик-психолог - это вообще какой-то цирк. Лучше потерпеть еще 2 года, получить ПОЛНОЕ химическое образование, а потом уже будешь учиться на кого хочешь""Подскажите, пожалуйста, как мне лучше поступить? Кто тоже поступал в магистратуру не по своему профилю и как у вас это было? Заранее благодарю!","10 лет назад я была с абсолютно такими же мыслями. Осталась ли я в профессии - да. Жалею - нет.Смотри дело не в образовании, а в то как ты на это смотришь. Университетская база и все эти научные лаборатории уныло и скучно - но это шикарная база, от которой придется учиться самостоятельно и получать опыт тоже. В вузе не научат. Выбираешь тему, покупаешь/берешь в библиотеке литературу, готовишь себя к собеседованию и пробуешь работать, получить опыт.1) Можно углубиться в изучении технологии производства: составы красок, косметики, фармация. Куча заводов платят грамотным химикам за рецептуры2) Работа в лаборатории: тут тебе и практика и теория, а если попадешь в акредитованную вообще потом почти в любую аналитическую лабораторию заберут с руками/ногами3) Репетитор. Веди блог, готовь к ЕГЭИ еще огромная куча интересных вариантов:) Дело не в том какое образование, а как его применить. Да, придется учиться постоянно, да тяжело вначале. Но так в любой профессииА в менеджеры/администраторы тебя просто с высшим возьмут и в целом все равно химия там или нет"
"Не поздно пойти учиться в 36)) Ребёнку почти 17 и тут пришла мысль пойти учиться. Всю жизнь в торговле, а хочется реализовать себя и получать удовольствие от работы... Так вот в чем вопрос не будет ли странно взять и пойти в институт в 36..такая почти бабуля решила изменить свою жизнь... Учится очень хочется, но не будет смешно вокруг всё молодые студенты и тут я))) Если кто вдруг поступал так поздно ЕГЭ нужно сдавать или студентам в возрасте можно обойтись без него? Буду признательна за мнения☺ #образование","Как вас зацепило.. Поверьте я умею искать нужную мне и достоверную информацию.Форум по моему и нужен, чтобы обмениваться мнениями, кто то ищет поддержки в каких то вопросах.А вы все воспринимаете кардинально.Когда я решу, что решила поступать я позвоню в приемную комиссию и задам все интересующие меня вопросы.Здесь я всего лишь спросила мнения у кого был данный опыт.Не реагируйте так остро"
"Кто хочет поменять профессию или получить, но не ловко идти в колледж или в вуз из-за возраста, то есть выход идти учиться не в одиночку, а с компанией. (Я не о себе сейчас.) Пишите из какого вы города и куда хотите поступить и таким образом найдете единомышленников и поступайте вместе учиться.","Слушайте, так преимущество 30 лет перед 18 - это то, что уже должно быть плевать на то, кто что подумает. Если вам надо, если вам хочется, вы идете и учитесь. И абсолютно все равно, кто что подумает. А если вас волнует общественное мнение - значит, вы не очень хотите учиться.Я в 29 лет поступила на бюджет в бакалавриат, потом так же на бюджет в магистратуру. Никогда не парилась, кто что думает."
